Date,Amount
2009/04/08, -126.190000
2009/04/09, -799.370000
2009/04/10, 350.940000
2009/04/13, -1045.070000
2009/04/14, -511.820000
2009/04/16, -300.820000
2009/04/17, -223.580000
2009/04/20, -277.630000
2009/04/21, -34.500000
2009/04/22, -18.360000
2009/04/23, -268.100000
2009/04/24, -149.130000
2009/04/27, -486.050000
2009/04/28, -228.190000
2009/04/29, -56.690000
2009/05/01, -24.000000
2009/05/04, -1050.660000
2009/05/05, -152.980000
2009/05/06, -229.510000
2009/05/08, 1447.060000
2009/05/11, -330.290000
2009/05/12, -30.200000
2009/05/13, -156.020000
2009/05/14, -648.850000
2009/05/18, -314.520000
2009/05/19, -84.180000
2009/05/20, -138.620000
